latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-11.455,130.878,325.6,2,1.4,2018-10-06,01:15,T,67,6.0NRT,303,33.5,D
-13.805,132.432,343.6,1.4,1.2,2018-10-06,01:15,T,87,6.0NRT,309.7,52.3,D
-15.247,142.667,338.4,2.3,1.5,2018-10-06,01:15,T,85,6.0NRT,308.9,82.8,D
-13.83,132.454,328.7,1.4,1.2,2018-10-06,01:15,T,51,6.0NRT,309.2,17.8,D
-15.271,142.643,329.1,2.2,1.5,2018-10-06,01:15,T,73,6.0NRT,307.2,39.6,D
-15.268,142.637,331.7,2.2,1.5,2018-10-06,01:15,T,77,6.0NRT,306.9,51.5,D
-13.869,132.388,338.9,1.4,1.2,2018-10-06,01:15,T,82,6.0NRT,312.1,36.7,D
-13.871,132.401,334.5,1.4,1.2,2018-10-06,01:15,T,68,6.0NRT,308.9,27.4,D
-11.279,131.914,332.9,1.7,1.3,2018-10-06,01:15,T,81,6.0NRT,307,37.4,D
-11.275,131.893,343.8,1.7,1.3,2018-10-06,01:15,T,92,6.0NRT,304.9,74,D
-11.277,131.908,349.4,1.7,1.3,2018-10-06,01:15,T,95,6.0NRT,307.6,96.4,D
-11.289,131.906,325.4,1.7,1.3,2018-10-06,01:15,T,56,6.0NRT,307.2,18.8,D
-11.297,131.889,347.7,1.7,1.3,2018-10-06,01:15,T,0,6.0NRT,305,89.5,D
-11.407,132.278,348.1,1.6,1.2,2018-10-06,01:15,T,94,6.0NRT,306.4,82.9,D
-11.409,132.292,331.6,1.6,1.2,2018-10-06,01:15,T,59,6.0NRT,308.7,28.5,D
-11.526,133.024,328.5,1.4,1.2,2018-10-06,01:15,T,26,6.0NRT,308.3,15.9,D
-11.438,132.402,334.7,1.5,1.2,2018-10-06,01:15,T,65,6.0NRT,305.9,34.8,D
-11.44,132.416,325.1,1.5,1.2,2018-10-06,01:15,T,58,6.0NRT,305.7,12.7,D
-12.936,142.703,347.1,2.1,1.4,2018-10-06,01:15,T,93,6.0NRT,301.5,129.1,D
-12.939,142.722,328.6,2.1,1.4,2018-10-06,01:15,T,66,6.0NRT,304.1,41.3,D
-11.441,132.409,330.6,1.5,1.2,2018-10-06,01:15,T,57,6.0NRT,305.8,24.5,D
-11.44,132.265,335.9,1.6,1.2,2018-10-06,01:15,T,72,6.0NRT,304.4,42.6,D
-12.936,142.696,338.9,2.1,1.4,2018-10-06,01:15,T,86,6.0NRT,301.1,83.2,D
-12.939,142.716,336.4,2.1,1.4,2018-10-06,01:15,T,84,6.0NRT,303.1,71.8,D
-12.986,143.113,318.4,2.3,1.5,2018-10-06,01:15,T,41,6.0NRT,300.1,21.7,D
-12.989,143.134,321.5,2.3,1.5,2018-10-06,01:15,T,61,6.0NRT,300.6,33.3,D
-12.949,142.695,330.1,2.1,1.4,2018-10-06,01:15,T,55,6.0NRT,304.5,43.6,D
-13.044,143.148,323.2,2.3,1.5,2018-10-06,01:15,T,57,6.0NRT,296.8,41.7,D
-12.197,136.377,334.5,1,1,2018-10-06,01:15,T,47,6.0NRT,317.2,14.8,D
-12.225,136.568,342.5,1,1,2018-10-06,01:15,T,87,6.0NRT,311.2,30,D
-13.094,143.033,324.7,2.2,1.4,2018-10-06,01:15,T,38,6.0NRT,301,28.6,D
-11.66,132.846,335,1.4,1.2,2018-10-06,01:15,T,81,6.0NRT,306.7,31.1,D
-11.662,132.859,348.4,1.4,1.2,2018-10-06,01:15,T,93,6.0NRT,309.5,69.9,D
-13.105,143.011,326.8,2.2,1.4,2018-10-06,01:15,T,41,6.0NRT,302,39.3,D
-11.673,132.857,329,1.4,1.2,2018-10-06,01:15,T,73,6.0NRT,308.9,17.7,D
-11.971,134.759,327,1.1,1,2018-10-06,01:15,T,41,6.0NRT,306.7,13,D
-12.263,136.572,352,1,1,2018-10-06,01:15,T,95,6.0NRT,311.4,47,D
-12.272,136.571,331.1,1,1,2018-10-06,01:15,T,27,6.0NRT,313,11.4,D
-12.125,135.531,335.5,1,1,2018-10-06,01:15,T,57,6.0NRT,310.8,21.7,D
-12.294,136.533,333.5,1,1,2018-10-06,01:15,T,56,6.0NRT,312.5,13.8,D
-12.295,136.542,342.2,1,1,2018-10-06,01:15,T,86,6.0NRT,311.9,27.7,D
-12.139,135.441,351.6,1,1,2018-10-06,01:15,T,94,6.0NRT,312.2,49.6,D
-12.304,136.541,326.6,1,1,2018-10-06,01:15,T,24,6.0NRT,310.5,6.5,D
-12.148,135.44,376.2,1,1,2018-10-06,01:15,T,87,6.0NRT,311.1,127.5,D
-13.803,132.419,327.7,1.4,1.2,2018-10-06,01:15,T,46,6.0NRT,308.5,14.4,D
-11.467,130.876,325.8,2,1.4,2018-10-06,01:15,T,55,6.0NRT,305.2,31.6,D
-11.458,130.872,325.1,2,1.4,2018-10-06,01:15,T,55,6.0NRT,303.3,30.5,D
-11.461,130.889,325.9,2,1.4,2018-10-06,01:15,T,61,6.0NRT,302.5,32.4,D
-11.482,130.564,319.4,2.1,1.4,2018-10-06,01:15,T,16,6.0NRT,303.8,19.1,D
-12.107,134.444,326.7,1.1,1.1,2018-10-06,01:15,T,34,6.0NRT,309.4,8.2,D
-12.316,135.82,336.8,1,1,2018-10-06,01:15,T,76,6.0NRT,313,19,D
-12.291,135.528,337.4,1,1,2018-10-06,01:15,T,80,6.0NRT,315.7,18,D
-12.293,135.537,331.2,1,1,2018-10-06,01:15,T,58,6.0NRT,314.5,9.2,D
-12.3,135.527,357.1,1,1,2018-10-06,01:15,T,98,6.0NRT,317.5,59.3,D
-12.302,135.536,348.5,1,1,2018-10-06,01:15,T,92,6.0NRT,315,39.1,D
-12.351,135.862,330.7,1,1,2018-10-06,01:15,T,58,6.0NRT,313.2,9,D
-13.504,143.415,320.1,2.4,1.5,2018-10-06,01:15,T,57,6.0NRT,297.9,39,D
-12.571,136.352,340.2,1,1,2018-10-06,01:15,T,83,6.0NRT,311.6,25.4,D
-12.572,136.361,348.9,1,1,2018-10-06,01:15,T,92,6.0NRT,314.1,41.4,D
-12.543,135.981,332.7,1,1,2018-10-06,01:15,T,20,6.0NRT,311.4,14.1,D
-12.575,135.951,339.4,1,1,2018-10-06,01:15,T,82,6.0NRT,313.2,20.5,D
-12.585,135.949,356.7,1,1,2018-10-06,01:15,T,97,6.0NRT,313.4,56.6,D
-12.586,135.959,341,1,1,2018-10-06,01:15,T,84,6.0NRT,316,23.9,D
-12.635,136.289,336.6,1,1,2018-10-06,01:15,T,79,6.0NRT,313.1,18.7,D
-12.596,135.966,333.1,1,1,2018-10-06,01:15,T,61,6.0NRT,312.9,12.4,D
-12.142,132.774,334,1.4,1.2,2018-10-06,01:15,T,45,6.0NRT,316.7,26.2,D
-13.648,142.991,333.3,2.3,1.5,2018-10-06,01:15,T,42,6.0NRT,303.7,69.9,D
-12.833,135.455,337.4,1,1,2018-10-06,01:15,T,69,6.0NRT,314.4,17.2,D
-12.847,135.37,332.8,1,1,2018-10-06,01:15,T,37,6.0NRT,316.3,9.4,D
-12.856,135.368,339.9,1,1,2018-10-06,01:15,T,76,6.0NRT,315.9,21.3,D
-13.817,141.687,325,1.8,1.3,2018-10-06,01:15,T,45,6.0NRT,305.7,22.9,D
-13.819,141.703,320.4,1.8,1.3,2018-10-06,01:15,T,28,6.0NRT,306.6,12.6,D
-13.826,141.669,348.7,1.8,1.3,2018-10-06,01:15,T,93,6.0NRT,307.2,107.2,D
-13.838,141.667,357.6,1.8,1.3,2018-10-06,01:15,T,98,6.0NRT,308.2,153.6,D
-13.848,141.649,348.1,1.8,1.3,2018-10-06,01:15,T,93,6.0NRT,308.1,97.3,D
-13.86,141.648,333.3,1.8,1.3,2018-10-06,01:15,T,74,6.0NRT,309.9,35.5,D
-13.864,141.681,340.5,1.8,1.3,2018-10-06,01:15,T,88,6.0NRT,310.1,65.9,D
-13.866,141.697,329.9,1.8,1.3,2018-10-06,01:15,T,77,6.0NRT,308.2,31.2,D
-13.952,141.748,325.6,1.8,1.3,2018-10-06,01:15,T,66,6.0NRT,310.1,20.5,D
-12.942,132.729,333.3,1.4,1.2,2018-10-06,01:15,T,66,6.0NRT,313,18.9,D
-12.963,132.725,347.7,1.4,1.2,2018-10-06,01:15,T,91,6.0NRT,308.6,56.3,D
-12.965,132.738,337.6,1.4,1.2,2018-10-06,01:15,T,81,6.0NRT,310.9,25.9,D
-12.973,132.724,342.1,1.4,1.2,2018-10-06,01:15,T,86,6.0NRT,309.5,41.4,D
-12.969,132.718,343,1.4,1.2,2018-10-06,01:15,T,87,6.0NRT,308.7,45.5,D
-12.971,132.73,350.6,1.4,1.2,2018-10-06,01:15,T,93,6.0NRT,310.4,66.6,D
-13.551,135.638,334.2,1,1,2018-10-06,01:15,T,68,6.0NRT,311,13.7,D
-13.701,135.779,333,1,1,2018-10-06,01:15,T,46,6.0NRT,311.1,13.4,D
-13.707,135.76,381.3,1,1,2018-10-06,01:15,T,100,6.0NRT,315.7,141.8,D
-13.709,135.769,370.3,1,1,2018-10-06,01:15,T,100,6.0NRT,315.9,99,D
-13.71,135.778,401.4,1,1,2018-10-06,01:15,T,100,6.0NRT,316.9,243.5,D
-13.712,135.787,337,1,1,2018-10-06,01:15,T,55,6.0NRT,310.1,18.2,D
-13.715,135.749,334.3,1,1,2018-10-06,01:15,T,37,6.0NRT,309,15.3,D
-13.716,135.758,354.9,1,1,2018-10-06,01:15,T,96,6.0NRT,313.1,54.9,D
-13.718,135.767,331.4,1,1,2018-10-06,01:15,T,43,6.0NRT,313.8,11.4,D
-13.73,135.788,346.9,1,1,2018-10-06,01:15,T,90,6.0NRT,312.9,37.8,D
-13.732,135.797,330.6,1,1,2018-10-06,01:15,T,60,6.0NRT,310.9,11.1,D
-13.781,135.818,352.7,1,1,2018-10-06,01:15,T,95,6.0NRT,313.8,49.3,D
-13.782,135.827,344,1,1,2018-10-06,01:15,T,66,6.0NRT,311.5,32,D
-14.221,136.554,327.1,1,1,2018-10-06,01:15,T,47,6.0NRT,312.4,8.8,D
-14.23,136.553,325.8,1,1,2018-10-06,01:15,T,29,6.0NRT,311.6,7.5,D
-15.094,142.034,350.5,2,1.4,2018-10-06,01:15,T,94,6.0NRT,310.9,126.2,D
-15.101,141.996,337.7,2,1.4,2018-10-06,01:15,T,81,6.0NRT,310.8,57.4,D
-15.104,142.014,333.4,2,1.4,2018-10-06,01:15,T,47,6.0NRT,313,38.8,D
-15.182,142.66,341.2,2.2,1.5,2018-10-06,01:15,T,88,6.0NRT,307.4,97,D
-15.125,142.087,335.3,2,1.4,2018-10-06,01:15,T,82,6.0NRT,313.6,40.6,D
-15.195,142.658,338.7,2.2,1.5,2018-10-06,01:15,T,85,6.0NRT,309.4,82.8,D
-15.18,142.655,327.4,2.2,1.5,2018-10-06,01:15,T,52,6.0NRT,306.3,33.8,D
-15.193,142.653,346.2,2.2,1.5,2018-10-06,01:15,T,91,6.0NRT,308,126.8,D
-15.154,142.097,342.6,2,1.4,2018-10-06,01:15,T,89,6.0NRT,313.7,72.8,D
-15.167,142.095,331.4,2,1.4,2018-10-06,01:15,T,77,6.0NRT,313.5,26,D
-15.404,144.171,324.2,3,1.6,2018-10-06,01:15,T,62,6.0NRT,302.2,59.6,D
-15.527,143.932,327.3,2.8,1.6,2018-10-06,01:15,T,52,6.0NRT,301.3,50.1,D
-15.536,144.012,324.6,2.9,1.6,2018-10-06,01:15,T,29,6.0NRT,300.7,43.4,D
-15.537,144.006,327.9,2.9,1.6,2018-10-06,01:15,T,50,6.0NRT,300.7,65.5,D
-15.592,143.839,330.5,2.8,1.6,2018-10-06,01:15,T,73,6.0NRT,302.1,88,D
-15.58,143.834,324.5,2.8,1.6,2018-10-06,01:15,T,40,6.0NRT,303.6,53.6,D
-14.348,133.575,338.6,1.2,1.1,2018-10-06,01:15,T,80,6.0NRT,311.8,27.8,D
-14.349,133.586,331.1,1.2,1.1,2018-10-06,01:15,T,58,6.0NRT,312.1,13.4,D
-14.357,133.574,344.3,1.2,1.1,2018-10-06,01:15,T,87,6.0NRT,311.4,37.7,D
